일자|시간|구분,공급량
2019-01-01 01 A,1587.0939023679405
2019-01-01 02 A,1587.0939023679405
2019-01-01 03 A,1587.0939023679405
2019-01-01 04 A,1587.0939023679405
2019-01-01 05 A,1587.0939023679405
2019-01-01 06 A,1686.6599979122088
2019-01-01 07 A,1951.0310964492223
2019-01-01 08 A,2019.5229897616769
2019-01-01 09 A,2019.5229897616769
2019-01-01 10 A,2019.5229897616769
2019-01-01 11 A,2019.5229897616769
2019-01-01 12 A,1865.6791220564403
2019-01-01 13 A,1846.9157310972028
2019-01-01 14 A,1846.9157310972028
2019-01-01 15 A,1846.9157310972028
2019-01-01 16 A,1846.9157310972028
2019-01-01 17 A,1846.9157310972028
2019-01-01 18 A,1846.9157310972028
2019-01-01 19 A,1965.0784527085113
2019-01-01 20 A,1965.0784527085113
2019-01-01 21 A,1965.0784527085113
2019-01-01 22 A,1965.0784527085113
2019-01-01 23 A,1965.0784527085113
2019-01-01 24 A,1965.0784527085113
2019-01-02 01 A,1587.0939023679405
2019-01-02 02 A,1587.0939023679405
2019-01-02 03 A,1587.0939023679405
2019-01-02 04 A,1587.0939023679405
2019-01-02 05 A,1587.0939023679405
2019-01-02 06 A,1686.6599979122088
2019-01-02 07 A,1951.0310964492223
2019-01-02 08 A,2019.5229897616769
2019-01-02 09 A,2019.5229897616769
2019-01-02 10 A,2019.5229897616769
2019-01-02 11 A,2019.5229897616769
2019-01-02 12 A,1865.6791220564403
2019-01-02 13 A,1846.9157310972028
2019-01-02 14 A,1846.9157310972028
2019-01-02 15 A,1846.9157310972028
2019-01-02 16 A,1846.9157310972028
2019-01-02 17 A,1846.9157310972028
2019-01-02 18 A,1846.9157310972028
2019-01-02 19 A,1965.0784527085113
2019-01-02 20 A,1965.0784527085113
2019-01-02 21 A,1965.0784527085113
2019-01-02 22 A,1965.0784527085113
2019-01-02 23 A,1965.0784527085113
2019-01-02 24 A,1965.0784527085113
2019-01-03 01 A,1587.0939023679405
2019-01-03 02 A,1587.0939023679405
2019-01-03 03 A,1587.0939023679405
2019-01-03 04 A,1587.0939023679405
2019-01-03 05 A,1587.0939023679405
2019-01-03 06 A,1686.6599979122088
2019-01-03 07 A,1951.0310964492223
2019-01-03 08 A,2019.5229897616769
2019-01-03 09 A,2019.5229897616769
2019-01-03 10 A,2019.5229897616769
2019-01-03 11 A,2019.5229897616769
2019-01-03 12 A,1865.6791220564403
2019-01-03 13 A,1846.9157310972028
2019-01-03 14 A,1846.9157310972028
2019-01-03 15 A,1846.9157310972028
2019-01-03 16 A,1846.9157310972028
2019-01-03 17 A,1846.9157310972028
2019-01-03 18 A,1846.9157310972028
2019-01-03 19 A,1965.0784527085113
2019-01-03 20 A,1965.0784527085113
2019-01-03 21 A,1965.0784527085113
2019-01-03 22 A,1965.0784527085113
2019-01-03 23 A,1965.0784527085113
2019-01-03 24 A,1965.0784527085113
2019-01-04 01 A,1587.0939023679405
2019-01-04 02 A,1587.0939023679405
2019-01-04 03 A,1587.0939023679405
2019-01-04 04 A,1587.0939023679405
2019-01-04 05 A,1587.0939023679405
2019-01-04 06 A,1686.6599979122088
